transactionID,employeeID,customerID,paymentdate,paymentMethod,amount
ABFJD180094,2,57203233779,2013-06-03,CASH,5.00
APMSJ870469,8,45642332196,2016-07-10,CASH,5.00
BRPLW363203,5,49733715573,2016-07-07,DEBIT,5.00
BUBMU544110,5,6045772220,2012-11-28,CHECK,5.00
BUGJO688937,4,2236154016,2013-08-29,CREDIT,5.00
DTBCI673591,4,14819809670,2016-05-26,DEBIT,5.00
DUJOA648579,4,80706279136,2013-03-03,DEBIT,5.00
ENBTB790841,2,96471179033,2014-05-16,CASH,5.00
ESTVW145828,5,6045772220,2017-09-05,DEBIT,5.00
FIFQT682306,6,85855706471,2017-07-21,CHECK,5.00
FRCRQ246133,3,57972093374,2017-08-31,CHECK,5.00
FVPIO594849,7,79174093967,2013-09-21,CASH,5.00
HWNRN183716,7,81070824722,2017-07-22,CREDIT,5.00
HXYTE247898,10,9025435427,2014-08-28,CREDIT,5.00
ILSEN551086,1,54902750774,2015-10-07,DEBIT,5.00
KEEXV498419,3,4175065039,2017-10-01,CREDIT,5.00
LULRN265772,6,59652506532,2013-07-21,DEBIT,5.00
NSJNC783400,6,83604226633,2015-05-15,CASH,5.00
OOKJE966259,2,758352923,2014-11-16,CASH,5.00
PNCGE804872,9,22217386106,2015-09-15,CASH,5.00
RAYUW737663,1,74820442163,2013-09-03,DEBIT,5.00
RHLPV883246,5,56162660323,2016-12-13,CHECK,5.00
UGVQT011613,1,87950811774,2016-05-10,CHECK,5.00
USJHA194568,3,16329504420,2016-05-10,CREDIT,5.00
VFWYT084453,9,67323692223,2013-07-15,CASH,5.00
VPGPK473116,10,93325025573,2015-10-05,CREDIT,5.00
WPNRF629096,8,56351269692,2015-05-26,DEBIT,5.00
YUWJW694399,8,12882106938,2014-06-16,DEBIT,5.00
ZRFIG562143,5,55224849368,2017-06-12,CREDIT,5.00
ZTMSI549924,7,45738177278,2014-01-07,DEBIT,5.00
